symbol,reason
AALR3,Baixa Liquidez
AGRO3,Baixa Liquidez
AMER3,Baixa Liquidez
AURE3,SEM_DADOS_MT5_D1
BGI$N,Baixa Liquidez
BGIK26,Baixa Liquidez
BIDB11,Baixa Liquidez
BMGB4,Baixa Liquidez
CAML3,Baixa Liquidez
CASH3,Baixa Liquidez
CCM$N,Baixa Liquidez
CCMH26,Baixa Liquidez
CCMK26,Baixa Liquidez
CCMK27,SEM_DADOS_MT5_D1
CCMN26,Baixa Liquidez
CCMU26,Baixa Liquidez
CGRA4,Baixa Liquidez
CSED3,Baixa Liquidez
DASA3,Baixa Liquidez
DEXP3,Baixa Liquidez
DI1$N,Baixa Liquidez
DI1J26,Baixa Liquidez
DOLF27,Baixa Liquidez
DOLF28,SEM_DADOS_MT5_D1
DOLF29,Baixa Liquidez
DOLF30,SEM_DADOS_MT5_D1
DOLJ27,SEM_DADOS_MT5_D1
DOLJ28,SEM_DADOS_MT5_D1
DOLK26,Baixa Liquidez
DOLM26,SEM_DADOS_MT5_D1
DOLN26,Baixa Liquidez
DOLN27,SEM_DADOS_MT5_D1
DOLN28,SEM_DADOS_MT5_D1
DOLN29,SEM_DADOS_MT5_D1
DOLN30,SEM_DADOS_MT5_D1
DOLQ26,SEM_DADOS_MT5_D1
DOLV26,SEM_DADOS_MT5_D1
DOLV27,SEM_DADOS_MT5_D1
ESPA3,Baixa Liquidez
EVEN3,Baixa Liquidez
FESA4,Baixa Liquidez
FIQE3,Baixa Liquidez
FRAS3,Baixa Liquidez
GFSA3,Baixa Liquidez
HBOR3,Baixa Liquidez
HBSA3,Baixa Liquidez
ICF$N,Baixa Liquidez
ICFH26,Baixa Liquidez
ICFK26,Baixa Liquidez
ICFU26,Baixa Liquidez
ICFZ26,Baixa Liquidez
IND$N,SEM_DADOS_MT5_D1
INDG27,SEM_DADOS_MT5_D1
INDJ27,SEM_DADOS_MT5_D1
INDM27,SEM_DADOS_MT5_D1
INDZ26,SEM_DADOS_MT5_D1
WDOF27,SEM_DADOS_MT5_D1
WDOF28,SEM_DADOS_MT5_D1
WDOF29,SEM_DADOS_MT5_D1
WDOF30,SEM_DADOS_MT5_D1
WDOJ27,SEM_DADOS_MT5_D1
WDOK26,Baixa Liquidez
WDOM26,Baixa Liquidez
WDON26,SEM_DADOS_MT5_D1
WDON27,SEM_DADOS_MT5_D1
WDON28,SEM_DADOS_MT5_D1
WDON29,SEM_DADOS_MT5_D1
WDOV26,Baixa Liquidez
WDOV27,SEM_DADOS_MT5_D1
WINM27,SEM_DADOS_MT5_D1
WINV26,SEM_DADOS_MT5_D1
WINZ26,SEM_DADOS_MT5_D1
JALL3,Baixa Liquidez
MATD3,Baixa Liquidez
MLAS3,Baixa Liquidez
NGRD3,Baixa Liquidez
OSXB3,Baixa Liquidez
PCAR3,SEM_DADOS_MT5_D1
PDGR3,Baixa Liquidez
POSI3,Baixa Liquidez
PTBL3,Baixa Liquidez
RANI3,Baixa Liquidez
ROMI3,Baixa Liquidez
SEQL3,Baixa Liquidez
SHUL4,Baixa Liquidez
SOJA3,Baixa Liquidez
SYNE3,Baixa Liquidez
TCSA3,Baixa Liquidez
TELB4,Baixa Liquidez
TRIS3,Baixa Liquidez
VVEO3,Baixa Liquidez
CCMF27,Baixa Liquidez
CCMX26,Baixa Liquidez
DOLQ27,SEM_DADOS_MT5_D1
DOLZ26,SEM_DADOS_MT5_D1
INDQ27,SEM_DADOS_MT5_D1
WINQ27,SEM_DADOS_MT5_D1
WDOJ28,SEM_DADOS_MT5_D1
WDON30,SEM_DADOS_MT5_D1
WDOQ26,SEM_DADOS_MT5_D1
WDOQ27,SEM_DADOS_MT5_D1
WDOZ26,SEM_DADOS_MT5_D1
INDV27,SEM_DADOS_MT5_D1
BGIM26,Baixa Liquidez
BGIN26,Baixa Liquidez
BGIQ26,Baixa Liquidez
DOLU26,SEM_DADOS_MT5_D1
WDOU26,SEM_DADOS_MT5_D1
BGIH26,Baixa Liquidez
BGIJ26,Baixa Liquidez
BGIU26,Baixa Liquidez
ICFU27,Baixa Liquidez
DOLV28,SEM_DADOS_MT5_D1
T10$N,Baixa Liquidez
DOLX26,SEM_DADOS_MT5_D1
WDOV28,SEM_DADOS_MT5_D1
WDOX26,Baixa Liquidez
INDZ27,SEM_DADOS_MT5_D1
WINV27,SEM_DADOS_MT5_D1
CCMH27,Baixa Liquidez
BGIV26,Baixa Liquidez
WSPM26,Baixa Liquidez
WSPZ26,SEM_DADOS_MT5_D1
T10M26,Baixa Liquidez
WSPU26,SEM_DADOS_MT5_D1
DOLJ29,SEM_DADOS_MT5_D1
WDOJ29,SEM_DADOS_MT5_D1
DOLF31,SEM_DADOS_MT5_D1
INDG28,SEM_DADOS_MT5_D1
WING28,SEM_DADOS_MT5_D1
DOLG27,SEM_DADOS_MT5_D1
CCMU27,Baixa Liquidez
CCMN27,SEM_DADOS_MT5_D1
ICFH27,Baixa Liquidez
ICFN26,Baixa Liquidez
BGIX26,Baixa Liquidez
INDJ28,SEM_DADOS_MT5_D1
WINJ28,SEM_DADOS_MT5_D1
BGIF27,SEM_DADOS_MT5_D1
BGIG27,SEM_DADOS_MT5_D1
BGIH27,SEM_DADOS_MT5_D1
BGIZ26,SEM_DADOS_MT5_D1
BITJ26,SEM_DADOS_MT5_D1
DOLH27,SEM_DADOS_MT5_D1
WDOG27,SEM_DADOS_MT5_D1
WDOH27,SEM_DADOS_MT5_D1
